"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"7/31/2023","ELECTRONIC WITHDRAWAL JPMORGAN CHASE  EXT TRNSFR230731","ELECTRONIC WITHDRAWAL JPMORGAN CHASE  EXT TRNSFR230731","470.00","debit","Auto Payment","Free Checking 2","",""
"7/31/2023","DIVIDEND RECEIVED FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash)","DIVIDEND RECEIVED FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash)","0.03","credit","Dividend & Cap Gains","Health Savings Account","",""
"7/31/2023","REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash)","REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash)","0.01","debit","Investments","Traditional IRA","",""
"7/31/2023","DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash)","DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash)","0.01","credit","Dividend & Cap Gains","Traditional IRA","",""
"7/31/2023","DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash)","DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash)","17.19","credit","Dividend & Cap Gains","ROTH IRA","",""
"7/31/2023","REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash)","REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash)","17.19","debit","Investments","ROTH IRA","",""
"7/31/2023","YOU SOLD NETFLIX INC (NFLX) (Cash)","YOU SOLD NETFLIX INC (NFLX) (Cash)","6451.44","credit","Sell","ROTH IRA","",""
"7/31/2023","REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash)","REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash)","203.25","debit","Investments","Individual - TOD","",""
"7/31/2023","YOU SOLD OKTA INC CL A (OKTA) (Cash)","YOU SOLD OKTA INC CL A (OKTA) (Cash)","7636.93","credit","Sell","Individual - TOD","",""
"7/31/2023","DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash)","DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash)","203.25","credit","Dividend & Cap Gains","Individual - TOD","",""
"7/31/2023","YOU SOLD SWEETGREEN INC COM CL A (SG) (Cash)","YOU SOLD SWEETGREEN INC COM CL A (SG) (Cash)","1579.98","credit","Sell","Individual - TOD","",""
"7/31/2023","DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash)","DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash)","0.02","credit","Dividend & Cap Gains","Traditional IRA","",""
"7/31/2023","DIVIDEND RECEIVED FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash)","DIVIDEND RECEIVED FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash)","0.93","credit","Dividend & Cap Gains","Health Savings Account","",""
"7/31/2023","REINVESTMENT FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash)","REINVESTMENT FIDELITY GOVERNMENT CASH RESERVES (FDRXX) (Cash)","0.93","debit","Investments","Health Savings Account","",""
"7/31/2023","REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash)","REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash)","19.93","debit","Investments","ROTH IRA","",""
"7/31/2023","DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash)","DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash)","19.93","credit","Dividend & Cap Gains","ROTH IRA","",""
"7/30/2023","Amazon","AMZN Mktp US*TX3GY69M1","17.31","debit","Home Improvement","CREDIT CARD","",""
"7/30/2023","Amazon","AMZN Mktp US*TH0OU4ZN0","8.65","debit","Shopping","CREDIT CARD","",""
"7/29/2023","SAM'S CLUB XXXX 6188AUSTIN TX","SAM'S CLUB XXXX 6188AUSTIN TX","81.43","debit","Groceries","Blue Cash Everyday®","",""
"7/29/2023","SAM'S CLUB XXXX 6188AUSTIN TX","SAM'S CLUB XXXX 6188AUSTIN TX","212.64","debit","Groceries","Blue Cash Everyday®","",""
"7/28/2023","Zelle payment to Vamsi JPM999zurjzc","Zelle payment to Vamsi JPM999zurjzc","180.00","debit","Furnishings","TOTAL CHECKING","",""
"7/28/2023","Online Transfer XXXXXXXXXXX from DCU ####XXXX transaction #: XXXXXXXXXXX 07/28","Online Transfer XXXXXXXXXXX from DCU ####XXXX transaction #: XXXXXXXXXXX 07/28","470.00","credit","Transfer","TOTAL CHECKING","",""
"7/28/2023","DIRECT DEPOSIT MPHASIS DIRECT DEP (Cash)","DIRECT DEPOSIT MPHASIS DIRECT DEP (Cash)","839.20","credit","Paycheck","Individual - TOD","",""
"7/28/2023","YOU BOUGHT SWEETGREEN INC COM CL A (SG) (Cash)","YOU BOUGHT SWEETGREEN INC COM CL A (SG) (Cash)","1219.30","debit","Investments","Individual - TOD","",""
"7/27/2023","ACROTEX GYMNASTICS - 5450","ACROTEX GYMNASTICS - 5450","45.00","debit","Kids Activities","CREDIT CARD","",""
"7/27/2023","Amazon","AMZN Mktp US*TX6PV0S20","73.60","debit","Furnishings","CREDIT CARD","","Table cover for dining room"
"7/27/2023","AMZN Mktp US","AMZN Mktp US","21.62","credit","Furnishings","CREDIT CARD","",""
"7/27/2023","AMZN Mktp US","AMZN Mktp US","21.62","credit","Furnishings","CREDIT CARD","",""
"7/27/2023","Zelle payment from SINDHU BALAKRISHNAN 21L0HWNBI3OA","Zelle payment from SINDHU BALAKRISHNAN 21L0HWNBI3OA","426.00","credit","Transfer","TOTAL CHECKING","",""
"7/27/2023","Zelle payment from SINDHU BALAKRISHNAN X1L0HWNBI3O7","Zelle payment from SINDHU BALAKRISHNAN X1L0HWNBI3O7","185.00","credit","Transfer","TOTAL CHECKING","",""
"7/27/2023","AplPay GANDHI BAZAR LIBERTY HILL TX","AplPay GANDHI BAZAR LIBERTY HILL TX","9.98","debit","Groceries","Blue Cash Everyday®","",""
"7/27/2023","H-E-B GAS/CARWASH #7LEANDER TX","H-E-B GAS/CARWASH #7LEANDER TX","46.78","debit","Gas & Fuel","Blue Cash Everyday®","",""
"7/27/2023","YOU SOLD ALPHABET INC CAP STK CL A (GOOGL) (Cash)","YOU SOLD ALPHABET INC CAP STK CL A (GOOGL) (Cash)","14626.58","credit","Sell","Individual - TOD","",""
"7/27/2023","YOU BOUGHT TESLA INC COM (TSLA) (Cash)","YOU BOUGHT TESLA INC COM (TSLA) (Cash)","2556.80","debit","Investments","Individual - TOD","",""
"7/27/2023","YOU SOLD OCCIDENTAL PETE CORP COM (OXY) (Cash)","YOU SOLD OCCIDENTAL PETE CORP COM (OXY) (Cash)","629.99","credit","Sell","Individual - TOD","",""
"7/27/2023","YOU BOUGHT NETFLIX INC (NFLX) (Cash)","YOU BOUGHT NETFLIX INC (NFLX) (Cash)","8279.60","debit","Investments","Individual - TOD","",""
"7/27/2023","YOU BOUGHT NETFLIX INC (NFLX) (Cash)","YOU BOUGHT NETFLIX INC (NFLX) (Cash)","4158.00","debit","Investments","Individual - TOD","",""
"7/27/2023","YOU SOLD META PLATFORMS INC CLASS A COMMON STOCK (META) (Cash)","YOU SOLD META PLATFORMS INC CLASS A COMMON STOCK (META) (Cash)","25919.79","credit","Sell","Individual - TOD","",""
"7/27/2023","YOU SOLD MICRON TECHNOLOGY INC (MU) (Cash)","YOU SOLD MICRON TECHNOLOGY INC (MU) (Cash)","2849.57","credit","Sell","Individual - TOD","",""
"7/27/2023","VANGUARD TARGET 2050","VANGUARD TARGET 2050","246.60","credit","Investments","ZIMMER BIOMET HOLDINGS, INC. SAVINGS AND INVESTMENT 401(K) PROGRAM","",""
"7/27/2023","NT S&P 500 INDEX","NT S&P 500 INDEX","986.43","credit","Investments","ZIMMER BIOMET HOLDINGS, INC. SAVINGS AND INVESTMENT 401(K) PROGRAM","",""
"7/27/2023","YOU BOUGHT NETFLIX INC (NFLX) (Cash)","YOU BOUGHT NETFLIX INC (NFLX) (Cash)","2068.55","debit","Investments","ROTH IRA","",""
"7/27/2023","YOU BOUGHT NETFLIX INC (NFLX) (Cash)","YOU BOUGHT NETFLIX INC (NFLX) (Cash)","4142.00","debit","Investments","ROTH IRA","",""
"7/27/2023","Fidelity 500 Index Fund","Fidelity 500 Index Fund","372.00","credit","Investments","Mphasis Corporation 401(k) Plan","",""
"7/27/2023","Columbia Dividend Income I3 Fund","Columbia Dividend Income I3 Fund","46.50","credit","Investments","Mphasis Corporation 401(k) Plan","",""
"7/27/2023","JP Morgan Large Cap Growth R6 Fund","JP Morgan Large Cap Growth R6 Fund","511.50","credit","Investments","Mphasis Corporation 401(k) Plan","",""
"7/27/2023","YOU BOUGHT TESLA INC COM (TSLA) (Cash)","YOU BOUGHT TESLA INC COM (TSLA) (Cash)","1285.19","debit","Investments","ROTH IRA","",""
"7/27/2023","YOU BOUGHT TESLA INC COM (TSLA) (Cash)","YOU BOUGHT TESLA INC COM (TSLA) (Cash)","1320.45","debit","Investments","ROTH IRA","",""
"7/26/2023","AplPay ALDI XXX39 00GEORGETOWN TX","AplPay ALDI XXX39 00GEORGETOWN TX","41.36","debit","Groceries","Blue Cash Everyday®","",""
"7/26/2023","DB WORLD FOODS MEAT MA","DB WORLD FOODS MEAT MA","20.58","debit","Groceries","Apple Card","",""
"7/26/2023","DB World Foods","DB WORLD FOODS","1.99","debit","Groceries","Apple Card","",""
"7/26/2023","ZELLE DEBIT TO","ZELLE DEBIT TO","426.00","debit","Transfer","Easy Banking Club","",""
"7/26/2023","ZELLE DEBIT TO","ZELLE DEBIT TO","1000.00","debit","Transfer","Easy Banking Club","",""
"7/26/2023","ZELLE DEBIT TO","ZELLE DEBIT TO","185.00","debit","Transfer","Easy Banking Club","",""
"7/26/2023","YOU BOUGHT TESLA INC COM (TSLA) (Cash)","YOU BOUGHT TESLA INC COM (TSLA) (Cash)","2649.00","debit","Investments","ROTH IRA","",""
"7/25/2023","Zelle payment from SINDHU BALAKRISHNAN 21L0HWMBFXSG","Zelle payment from SINDHU BALAKRISHNAN 21L0HWMBFXSG","1000.00","credit","Transfer","TOTAL CHECKING","",""
"7/25/2023","REDEMPTION PAYOUT UNITED STATES TREAS BILLS ZERO CPN 0.00000% 07/25/2023 (Cash)","REDEMPTION PAYOUT UNITED STATES TREAS BILLS ZERO CPN 0.00000% 07/25/2023 (Cash)","25000.00","credit","Investments","Individual - TOD","",""
"7/25/2023","TST* DB KITCHEN DB WOR","TST* DB KITCHEN DB WOR","8.64","debit","Food & Dining","Apple Card","",""
"7/25/2023","DIVIDEND RECEIVED MICRON TECHNOLOGY INC (MU) (Cash)","DIVIDEND RECEIVED MICRON TECHNOLOGY INC (MU) (Cash)","4.60","credit","Dividend & Cap Gains","Individual - TOD","",""
"7/25/2023","YOU SOLD ISHARES TR ISHARES SEMICDTR (SOXX) (Cash)","YOU SOLD ISHARES TR ISHARES SEMICDTR (SOXX) (Cash)","260.00","credit","Sell","ROTH IRA","",""
"7/25/2023","YOU SOLD ISHARES TR ISHARES SEMICDTR (SOXX) (Cash)","YOU SOLD ISHARES TR ISHARES SEMICDTR (SOXX) (Cash)","6759.94","credit","Sell","ROTH IRA","",""
"7/24/2023","APPLECARD GSBANK PAYMENT XXXXXXXXX WEB ID: XXXXXX9999","APPLECARD GSBANK PAYMENT XXXXXXXXX WEB ID: XXXXXX9999","163.61","debit","Credit Card Payment","TOTAL CHECKING","",""
"7/24/2023","VENMO PAYMENT XXXXXXXXXXXXX WEB ID: XXXXXX1992","VENMO PAYMENT XXXXXXXXXXXXX WEB ID: XXXXXX1992","50.00","debit","Toys","TOTAL CHECKING","","Trampoline"
"7/24/2023","Zelle payment to Sandeep JPM999zq2cuw","Zelle payment to Sandeep JPM999zq2cuw","10.00","debit","Groceries","TOTAL CHECKING","",""
"7/24/2023","GANDHI BAZAR LIBERTY HILL TX","GANDHI BAZAR LIBERTY HILL TX","74.93","debit","Groceries","Blue Cash Everyday®","",""
"7/24/2023","DOMINO'S XXXX XX0006LIBERTY HILL TX","DOMINO'S XXXX XX0006LIBERTY HILL TX","15.13","debit","Fast Food","Blue Cash Everyday®","",""
"7/24/2023","YOU SOLD INVESCO QQQ TR UNIT SER 1 (QQQ) (Cash)","YOU SOLD INVESCO QQQ TR UNIT SER 1 (QQQ) (Cash)","2635.61","credit","Sell","Individual - TOD","",""
"7/24/2023","YOU BOUGHT NETFLIX INC (NFLX) (Cash)","YOU BOUGHT NETFLIX INC (NFLX) (Cash)","4230.00","debit","Investments","Individual - TOD","",""
"7/24/2023","YOU BOUGHT META PLATFORMS INC CLASS A COMMON STOCK (META) (Cash)","YOU BOUGHT META PLATFORMS INC CLASS A COMMON STOCK (META) (Cash)","2910.00","debit","Investments","Individual - TOD","",""
"7/23/2023","Amazon","AMZN Mktp US*X08LG8GS3","21.62","debit","Furnishings","CREDIT CARD","",""
"7/23/2023","Amazon","AMZN Mktp US*L34GA1RV3","21.62","debit","Furnishings","CREDIT CARD","",""
"7/23/2023","AMZN Mktp US","AMZN Mktp US","38.20","credit","Furnishings","CREDIT CARD","",""
"7/23/2023","Amazon","Amazon.com*GMX5Y3S13","7.48","debit","Groceries","CREDIT CARD","",""
"7/23/2023","PAYPAL *TEMU XXXXXX6118 MA","PAYPAL *TEMU XXXXXX6118 MA","55.37","debit","Toys","Blue Cash Everyday®","",""
"7/23/2023","TST* KING & CARDINAL -","TST* KING & CARDINAL -","3.78","debit","Restaurants","Apple Card","",""
"7/22/2023","ACH Deposit Internet transfer from account ending in 7208","ACH Deposit Internet transfer from account ending in 7208","163.61","credit","Transfer","Apple Card","",""
"7/21/2023","Amazon","AMZN Mktp US*BQ9AW4WC3","36.68","debit","Furnishings","CREDIT CARD","",""
"7/21/2023","H-E-B GAS/CARWASH #7LEANDER TX","H-E-B GAS/CARWASH #7LEANDER TX","39.31","debit","Gas & Fuel","Blue Cash Everyday®","",""
"7/21/2023","H-E-B #XXX XXXXX0000LEANDER TX","H-E-B #XXX XXXXX0000LEANDER TX","47.81","debit","Groceries","Blue Cash Everyday®","",""
"7/21/2023","ZIMMER INC       DES:DIRECT DEP ID:XXXXX83908424J9           INDN:BALAKRISHNAN,SINDHU     CO ID:XXXXX11101 PPD","ZIMMER INC       DES:DIRECT DEP ID:XXXXX83908424J9           INDN:BALAKRISHNAN,SINDHU     CO ID:XXXXX11101 PPD","2000.00","credit","Paycheck","Adv Plus Banking - 1866","",""
"7/21/2023","ZIMMER INC DIRECT DEP","ZIMMER INC DIRECT DEP","126.28","credit","Paycheck","Easy Banking Club","",""
"7/21/2023","Interest Payment","Interest Payment","18.11","credit","Interest Income","HYSA","",""
"7/21/2023","YOU BOUGHT META PLATFORMS INC CLASS A COMMON STOCK (META) (Cash)","YOU BOUGHT META PLATFORMS INC CLASS A COMMON STOCK (META) (Cash)","2923.60","debit","Investments","Individual - TOD","",""
"7/21/2023","YOU BOUGHT META PLATFORMS INC CLASS A COMMON STOCK (META) (Cash)","YOU BOUGHT META PLATFORMS INC CLASS A COMMON STOCK (META) (Cash)","3000.00","debit","Investments","Individual - TOD","",""
"7/21/2023","YOU BOUGHT TESLA INC COM (TSLA) (Cash)","YOU BOUGHT TESLA INC COM (TSLA) (Cash)","2558.00","debit","Investments","Individual - TOD","",""
"7/21/2023","YOU BOUGHT NETFLIX INC (NFLX) (Cash)","YOU BOUGHT NETFLIX INC (NFLX) (Cash)","4325.60","debit","Investments","Individual - TOD","",""
"7/21/2023","YOU BOUGHT META PLATFORMS INC CLASS A COMMON STOCK (META) (Cash)","YOU BOUGHT META PLATFORMS INC CLASS A COMMON STOCK (META) (Cash)","2975.00","debit","Investments","Individual - TOD","",""
"7/21/2023","YOU BOUGHT NETFLIX INC (NFLX) (Cash)","YOU BOUGHT NETFLIX INC (NFLX) (Cash)","4248.00","debit","Investments","Individual - TOD","",""
"7/20/2023","Amazon","Amazon.com*6I6NP2ZV3","36.79","debit","Home Supplies","CREDIT CARD","","battery"
"7/20/2023","YOU BOUGHT TOAST INC CL A (TOST) (Cash)","YOU BOUGHT TOAST INC CL A (TOST) (Cash)","110.50","debit","Investments","Individual - TOD","",""
"7/20/2023","REDEMPTION PAYOUT UNITED STATES TREAS BILLS ZERO CPN 0.00000% 07/20/2023 (Cash)","REDEMPTION PAYOUT UNITED STATES TREAS BILLS ZERO CPN 0.00000% 07/20/2023 (Cash)","11000.00","credit","Investments","ROTH IRA","",""
"7/20/2023","YOU BOUGHT ISHARES TR ISHARES SEMICDTR (SOXX) (Cash)","YOU BOUGHT ISHARES TR ISHARES SEMICDTR (SOXX) (Cash)","6597.37","debit","Investments","ROTH IRA","",""
"7/20/2023","YOU BOUGHT ISHARES TR ISHARES SEMICDTR (SOXX) (Cash)","YOU BOUGHT ISHARES TR ISHARES SEMICDTR (SOXX) (Cash)","253.75","debit","Investments","ROTH IRA","",""
"7/20/2023","YOU SOLD ZIMMER BIOMET HOLDINGS INC COM (ZBH) (Cash)","YOU SOLD ZIMMER BIOMET HOLDINGS INC COM (ZBH) (Cash)","1689.27","credit","Sell","Individual - TOD","",""
"7/20/2023","YOU BOUGHT NETFLIX INC (NFLX) (Cash)","YOU BOUGHT NETFLIX INC (NFLX) (Cash)","2185.00","debit","Investments","Individual - TOD","",""
"7/20/2023","YOU BOUGHT TESLA INC COM (TSLA) (Cash)","YOU BOUGHT TESLA INC COM (TSLA) (Cash)","2113.60","debit","Investments","Individual - TOD","",""
"7/20/2023","YOU BOUGHT TESLA INC COM (TSLA) (Cash)","YOU BOUGHT TESLA INC COM (TSLA) (Cash)","269.32","debit","Investments","Individual - TOD","",""
"7/20/2023","YOU BOUGHT SWEETGREEN INC COM CL A (SG) (Cash)","YOU BOUGHT SWEETGREEN INC COM CL A (SG) (Cash)","153.00","debit","Investments","Individual - TOD","",""
"7/20/2023","YOU BOUGHT META PLATFORMS INC CLASS A COMMON STOCK (META) (Cash)","YOU BOUGHT META PLATFORMS INC CLASS A COMMON STOCK (META) (Cash)","2149.00","debit","Investments","Individual - TOD","",""
"7/20/2023","YOU BOUGHT META PLATFORMS INC CLASS A COMMON STOCK (META) (Cash)","YOU BOUGHT META PLATFORMS INC CLASS A COMMON STOCK (META) (Cash)","3353.24","debit","Investments","Individual - TOD","",""
"7/20/2023","YOU BOUGHT META PLATFORMS INC CLASS A COMMON STOCK (META) (Cash)","YOU BOUGHT META PLATFORMS INC CLASS A COMMON STOCK (META) (Cash)","308.00","debit","Investments","Individual - TOD","",""
"7/20/2023","YOU BOUGHT NETFLIX INC (NFLX) (Cash)","YOU BOUGHT NETFLIX INC (NFLX) (Cash)","4382.50","debit","Investments","Individual - TOD","",""
"7/20/2023","YOU BOUGHT META PLATFORMS INC CLASS A COMMON STOCK (META) (Cash)","YOU BOUGHT META PLATFORMS INC CLASS A COMMON STOCK (META) (Cash)","311.00","debit","Investments","Individual - TOD","",""
"7/20/2023","YOU BOUGHT TESLA INC COM (TSLA) (Cash)","YOU BOUGHT TESLA INC COM (TSLA) (Cash)","272.50","debit","Investments","Individual - TOD","",""
"7/20/2023","YOU BOUGHT META PLATFORMS INC CLASS A COMMON STOCK (META) (Cash)","YOU BOUGHT META PLATFORMS INC CLASS A COMMON STOCK (META) (Cash)","3033.30","debit","Investments","Individual - TOD","",""
"7/20/2023","YOU BOUGHT META PLATFORMS INC CLASS A COMMON STOCK (META) (Cash)","YOU BOUGHT META PLATFORMS INC CLASS A COMMON STOCK (META) (Cash)","3038.74","debit","Investments","Individual - TOD","",""
"7/20/2023","YOU SOLD ZIMMER BIOMET HOLDINGS INC COM (ZBH) (Cash)","YOU SOLD ZIMMER BIOMET HOLDINGS INC COM (ZBH) (Cash)","2.29","credit","Sell","Individual - TOD","",""
"7/20/2023","YOU BOUGHT NETFLIX INC (NFLX) (Cash)","YOU BOUGHT NETFLIX INC (NFLX) (Cash)","2170.00","debit","Investments","Individual - TOD","",""
"7/19/2023","SPECTRUM XXX-XXX-7328 MO","SPECTRUM XXX-XXX-7328 MO","65.33","debit","Internet","Blue Cash Everyday®","",""
"7/19/2023","INTEREST PAYMENT","INTEREST PAYMENT","0.32","credit","Interest Income","Easy Banking Club","",""
"7/19/2023","Fidelity 500 Index Fund","Fidelity 500 Index Fund","2.79","debit","Deposit","Mphasis Corporation 401(k) Plan","",""
"7/19/2023","JP Morgan Large Cap Growth R6 Fund","JP Morgan Large Cap Growth R6 Fund","0.80","debit","Investments","Mphasis Corporation 401(k) Plan","",""
"7/19/2023","JP Morgan Large Cap Growth R6 Fund","JP Morgan Large Cap Growth R6 Fund","1.70","debit","Investments","Mphasis Corporation 401(k) Plan","",""
"7/19/2023","Fidelity 500 Index Fund","Fidelity 500 Index Fund","6.27","debit","Deposit","Mphasis Corporation 401(k) Plan","",""
"7/19/2023","JP Morgan Large Cap Growth R6 Fund","JP Morgan Large Cap Growth R6 Fund","2.80","debit","Investments","Mphasis Corporation 401(k) Plan","",""
"7/19/2023","JP Morgan Large Cap Growth R6 Fund","JP Morgan Large Cap Growth R6 Fund","0.48","debit","Investments","Mphasis Corporation 401(k) Plan","",""
"7/19/2023","Columbia Dividend Income I3 Fund","Columbia Dividend Income I3 Fund","7.59","debit","Investments","Mphasis Corporation 401(k) Plan","",""
"7/19/2023","Fidelity 500 Index Fund","Fidelity 500 Index Fund","16.29","debit","Deposit","Mphasis Corporation 401(k) Plan","",""
"7/19/2023","Columbia Dividend Income I3 Fund","Columbia Dividend Income I3 Fund","0.13","debit","Investments","Mphasis Corporation 401(k) Plan","",""
"7/19/2023","JP Morgan Large Cap Growth R6 Fund","JP Morgan Large Cap Growth R6 Fund","4.31","debit","Investments","Mphasis Corporation 401(k) Plan","",""
"7/19/2023","Columbia Dividend Income I3 Fund","Columbia Dividend Income I3 Fund","1.30","debit","Investments","Mphasis Corporation 401(k) Plan","",""
"7/19/2023","Columbia Dividend Income I3 Fund","Columbia Dividend Income I3 Fund","1.97","debit","Investments","Mphasis Corporation 401(k) Plan","",""
"7/19/2023","Fidelity 500 Index Fund","Fidelity 500 Index Fund","4.66","debit","Deposit","Mphasis Corporation 401(k) Plan","",""
"7/19/2023","Fidelity 500 Index Fund","Fidelity 500 Index Fund","1.15","debit","Deposit","Mphasis Corporation 401(k) Plan","",""
"7/19/2023","Columbia Dividend Income I3 Fund","Columbia Dividend Income I3 Fund","2.16","debit","Investments","Mphasis Corporation 401(k) Plan","",""
"7/19/2023","YOU BOUGHT TOAST INC CL A (TOST) (Cash)","YOU BOUGHT TOAST INC CL A (TOST) (Cash)","23.14","debit","Investments","Individual - TOD","",""
"7/19/2023","YOU BOUGHT TOAST INC CL A (TOST) (Cash)","YOU BOUGHT TOAST INC CL A (TOST) (Cash)","22640.00","debit","Investments","Individual - TOD","",""
"7/18/2023","Payment Thank You-Mobile","Payment Thank You-Mobile","303.31","credit","Credit Card Payment","CREDIT CARD","",""
"7/18/2023","AMERICAN EXPRESS ACH PMT MXXXX WEB ID: XXXXXX2111","AMERICAN EXPRESS ACH PMT MXXXX WEB ID: XXXXXX2111","980.69","debit","Credit Card Payment","TOTAL CHECKING","",""
"7/18/2023","Payment to Chase card ending in XXXX 07/18","Payment to Chase card ending in XXXX 07/18","303.31","debit","Credit Card Payment","TOTAL CHECKING","",""
"7/18/2023","H-E-B #XXX XXXXX0000LEANDER TX","H-E-B #XXX XXXXX0000LEANDER TX","28.83","debit","Groceries","Blue Cash Everyday®","",""
"7/18/2023","MOBILE PAYMENT - THANK YOU","MOBILE PAYMENT - THANK YOU","980.69","credit","Credit Card Payment","Blue Cash Everyday®","",""
"7/18/2023","DIRECT PROPANE SERVIWEBBERVILLE TX","DIRECT PROPANE SERVIWEBBERVILLE TX","34.54","debit","Utilities","Blue Cash Everyday®","",""
"7/18/2023","YOU SOLD SNOWFLAKE INC CL A (SNOW) (Cash)","YOU SOLD SNOWFLAKE INC CL A (SNOW) (Cash)","5605.45","credit","Sell","Individual - TOD","",""
"7/17/2023","YOU BOUGHT SWEETGREEN INC COM CL A (SG) (Cash)","YOU BOUGHT SWEETGREEN INC COM CL A (SG) (Cash)","15.36","debit","Investments","Individual - TOD","",""
"7/17/2023","Fidelity 500 Index Fund","Fidelity 500 Index Fund","372.00","credit","Deposit","Mphasis Corporation 401(k) Plan","",""
"7/17/2023","Columbia Dividend Income I3 Fund","Columbia Dividend Income I3 Fund","46.50","credit","Investments","Mphasis Corporation 401(k) Plan","",""
"7/17/2023","JP Morgan Large Cap Growth R6 Fund","JP Morgan Large Cap Growth R6 Fund","511.50","credit","Investments","Mphasis Corporation 401(k) Plan","",""
"7/16/2023","Amazon","Amazon.com*WX8PR03B3","15.41","debit","Home Improvement","CREDIT CARD","","smart bulb"
"7/16/2023","HONEST ROUND ROCK TXROUND ROCK TX","HONEST ROUND ROCK TXROUND ROCK TX","54.61","debit","Restaurants","Blue Cash Everyday®","",""
"7/16/2023","Monthly Interest Paid","Monthly Interest Paid","359.33","credit","Interest Income","CERTIFICATEOFDEPOSIT Account","",""
"7/15/2023","PAYPAL *TEMU XXXXXX6118 DE","PAYPAL *TEMU XXXXXX6118 DE","6.38","credit","Toys","Blue Cash Everyday®","",""
"7/15/2023","PAYPAL *TEMU XXXXXX6118 DE","PAYPAL *TEMU XXXXXX6118 DE","6.73","credit","Toys","Blue Cash Everyday®","",""
"7/15/2023","Interest Payment","Interest Payment","9.12","credit","Interest Income","HYSA","",""
"7/14/2023","WALMART.COM","WALMART.COM","161.29","credit","Income","CREDIT CARD","",""
"7/14/2023","MPHASIS DIRECT DEP PPD ID: XXXXXX1103","MPHASIS DIRECT DEP PPD ID: XXXXXX1103","2517.59","credit","Paycheck","TOTAL CHECKING","",""
"7/14/2023","APPLE GS SAVINGS TRANSFER XXXXXXXXXXXX WEB ID: XXXXXX9999","APPLE GS SAVINGS TRANSFER XXXXXXXXXXXX WEB ID: XXXXXX9999","1233.00","debit","Transfer","TOTAL CHECKING","",""
"7/14/2023","AplPay TST* DB KITCHLEANDER TX","AplPay TST* DB KITCHLEANDER TX","3.24","debit","Snacks","Blue Cash Everyday®","",""
"7/14/2023","H-E-B #XXX XXXXX0000LEANDER TX","H-E-B #XXX XXXXX0000LEANDER TX","42.84","debit","Groceries","Blue Cash Everyday®","",""
"7/14/2023","AplPay DB WORLD FOODLEANDER TX","AplPay DB WORLD FOODLEANDER TX","14.47","debit","Groceries","Blue Cash Everyday®","",""
"7/14/2023","AplPay DB WORLD FOODLEANDER TX","AplPay DB WORLD FOODLEANDER TX","12.83","debit","Snacks","Blue Cash Everyday®","",""
"7/14/2023","DIVIDEND RECEIVED OCCIDENTAL PETE CORP COM (OXY) (Cash)","DIVIDEND RECEIVED OCCIDENTAL PETE CORP COM (OXY) (Cash)","1.80","credit","Dividend & Cap Gains","Individual - TOD","",""
"7/13/2023","Amazon","AMZN Mktp US*CF67F6HX3","69.18","debit","Internet","CREDIT CARD","","router"
"7/13/2023","H-E-B GAS/CARWASH #7LEANDER TX","H-E-B GAS/CARWASH #7LEANDER TX","58.94","debit","Gas & Fuel","Blue Cash Everyday®","",""
"7/13/2023","DIRECT DEPOSIT MPHASIS DIRECT DEP (Cash)","DIRECT DEPOSIT MPHASIS DIRECT DEP (Cash)","839.20","credit","Paycheck","Individual - TOD","",""
"7/13/2023","YOU SOLD SNOWFLAKE INC CL A (SNOW) (Cash)","YOU SOLD SNOWFLAKE INC CL A (SNOW) (Cash)","90.50","credit","Sell","ROTH IRA","",""
